"avaliacao_id","avaliador_id","avaliado_id","nota_avaliacao","avaliacao_texto"
1,6,20,5,Equipe altamente profissional! Cumpriram o prazo e o resultado da reforma da minha cozinha ficou incrível. Recomendo totalmente.
2,182,2,3,Contratei-os para uma reforma de banheiro e fiquei muito satisfeito com o resultado final. Ótimo trabalho e atenção aos detalhes.
3,136,21,4,"""Excelente serviço de construção! Desde o planejamento até a execução, tudo foi feito com cuidado e competência. Muito obrigado!"""
4,103,28,4,Profissionais pontuais e qualificados. Transformaram minha área externa de forma surpreendente. Recomendo!
5,129,21,1,A reforma do meu escritório foi concluída no prazo e com excelente qualidade. Equipe comprometida e eficiente.
6,66,13,2,Contratei-os para uma pequena reforma em casa e fiquei impressionado com o profissionalismo e a dedicação da equipe. Recomendo de olhos fechados!
7,37,18,1,Serviço de construção excepcional! A equipe foi além das expectativas e entregou um trabalho de alta qualidade dentro do prazo estipulado.
8,154,1,3,Estou muito contente com a reforma da minha sala. Profissionais atenciosos e habilidosos. Recomendo a todos!
9,159,3,4,Equipe extremamente competente na execução da reforma da minha varanda. Preço justo e resultado final incrível!
10,127,5,2,Serviço de construção impecável! Profissionais qualificados e comprometidos. Superaram minhas expectativas.
11,68,29,4,Contratei-os para uma reforma em casa e o resultado foi além do esperado. Profissionais dedicados e serviço de alta qualidade.
12,19,13,1,A empresa demonstrou grande expertise na reforma do meu apartamento. Pontualidade e comprometimento foram marcas do serviço prestado.
13,103,5,4,Profissionais responsáveis e capacitados. A reforma do meu escritório foi realizada com eficiência e qualidade.
14,10,15,3,"""Recomendo fortemente! Equipe de construção comprometida e competente, entregaram o projeto de acordo com o planejado."""
15,26,1,4,Estou muito satisfeito com a reforma do meu banheiro. Profissionais ágeis e cuidadosos. Ótimo trabalho!
16,68,11,3,Serviço de construção excepcional! Profissionais dedicados que entregaram um projeto além das expectativas.
17,87,3,2,A reforma da minha cozinha foi feita com rapidez e qualidade. Profissionais competentes e comprometidos com o resultado.
18,181,8,2,Equipe de construção altamente profissional. A reforma da minha casa foi concluída com perfeição.
19,152,17,5,Serviço de reforma de extrema qualidade! Profissionais comprometidos e atenciosos com os detalhes.
20,169,10,2,"""Excelente serviço de construção! Pontuais, competentes e entregaram o projeto conforme acordado. Recomendo sem dúvidas!"""
21,126,21,5,"""Embora tenham concluído a reforma da minha cozinha dentro do prazo, alguns detalhes ficaram negligenciados. Precisam melhorar a atenção aos acabamentos."""
22,68,28,1,"""O serviço de construção foi satisfatório, mas a comunicação durante o processo poderia ter sido mais clara. Sugiro mais transparência nas etapas do projeto."""
23,122,22,4,"""A equipe foi pontual na reforma do meu banheiro, porém houve dificuldades na resolução de problemas imprevistos. Maior agilidade nas soluções seria benéfica."""
24,143,17,2,"""Contratei-os para um projeto de construção. Embora o resultado final tenha sido bom, houve atrasos na entrega. Melhorias no cumprimento dos prazos são necessárias."""
